"drugName","activeIngredients","fever","vomit","arthritis"
"ADRUCIL","FLUOROURACIL",FALSE,FALSE,FALSE
"ADUHELM","ADUCANUMAB-AVWA",FALSE,FALSE,FALSE
"ADVAIR DISKUS 100/50","FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE",FALSE,FALSE,FALSE
"ADVAIR DISKUS 250/50","FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE",FALSE,FALSE,FALSE
"ADVAIR DISKUS 500/50","FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE",FALSE,FALSE,FALSE
"ADVAIR HFA","FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE",FALSE,FALSE,FALSE
"ADVIL","IBUPROFEN",FALSE,FALSE,FALSE
"ADVIL ALLERGY AND CONGESTION RELIEF","CHLORPHENIRAMINE MALEATE; IBUPROFEN; PHENYLEPHRINE HYDROCHLORIDE",FALSE,FALSE,FALSE
"ADVIL ALLERGY SINUS","CHLORPHENIRAMINE MALEATE; IBUPROFEN; PSEUDOEPHEDRINE HYDROCHLORIDE",FALSE,FALSE,FALSE
"ADVIL COLD AND SINUS","IBUPROFEN; PSEUDOEPHEDRINE HYDROCHLORIDE",FALSE,FALSE,FALSE
"ADVIL CONGESTION RELIEF","IBUPROFEN; PHENYLEPHRINE HYDROCHLORIDE",FALSE,FALSE,FALSE
"ADVIL DUAL ACTION WITH ACETAMINOPHEN","ACETAMINOPHEN; IBUPROFEN",FALSE,FALSE,FALSE
"ADVIL LIQUI-GELS","IBUPROFEN",FALSE,FALSE,FALSE
"ADVIL MIGRAINE LIQUI-GELS","IBUPROFEN",FALSE,FALSE,FALSE
"ADVIL MULTI-SYMPTOM COLD & FLU","CHLORPHENIRAMINE MALEATE; IBUPROFEN; PHENYLEPHRINE HYDROCHLORIDE",FALSE,FALSE,FALSE
"ADVIL PM","DIPHENHYDRAMINE HYDROCHLORIDE; IBUPROFEN",FALSE,FALSE,FALSE
"ADZENYS ER","AMPHETAMINE",FALSE,FALSE,FALSE
"ADZENYS XR-ODT","AMPHETAMINE",FALSE,FALSE,FALSE
"AEMCOLO","RIFAMYCIN SODIUM",FALSE,FALSE,FALSE
"AEROBID","FLUNISOLIDE",FALSE,FALSE,FALSE
"AEROLATE","THEOPHYLLINE",FALSE,FALSE,FALSE
"AEROLATE III","THEOPHYLLINE",FALSE,FALSE,FALSE
"AEROLATE JR","THEOPHYLLINE",FALSE,FALSE,FALSE
"AEROLATE SR","THEOPHYLLINE",FALSE,FALSE,FALSE
"AEROLONE","ISOPROTERENOL HYDROCHLORIDE",FALSE,FALSE,FALSE
"AEROSEB-DEX","DEXAMETHASONE",FALSE,FALSE,FALSE
"AEROSEB-HC","HYDROCORTISONE",FALSE,FALSE,FALSE
"AEROSPAN HFA","FLUNISOLIDE",FALSE,FALSE,FALSE
"AEROSPORIN","POLYMYXIN B SULFATE",FALSE,FALSE,FALSE
"AFAXIN","VITAMIN A PALMITATE",FALSE,FALSE,FALSE
"AFEDITAB CR","NIFEDIPINE",FALSE,FALSE,FALSE
"AFINITOR","EVEROLIMUS",FALSE,FALSE,FALSE
"AFINITOR DISPERZ","EVEROLIMUS",FALSE,FALSE,FALSE
"AFIRMELLE","ETHINYL ESTRADIOL; LEVONORGESTREL",FALSE,FALSE,FALSE
"AFREZZA","INSULIN RECOMBINANT HUMAN",FALSE,FALSE,FALSE
"AFRINOL","PSEUDOEPHEDRINE SULFATE",FALSE,FALSE,FALSE
"AGENERASE","AMPRENAVIR",FALSE,FALSE,FALSE
"AGGRASTAT","TIROFIBAN HYDROCHLORIDE",FALSE,FALSE,FALSE
"AGGRENOX","ASPIRIN; DIPYRIDAMOLE",FALSE,FALSE,FALSE
"AGRYLIN","ANAGRELIDE HYDROCHLORIDE",FALSE,FALSE,FALSE
"AIMOVIG","ERENUMAB-AOOE",FALSE,FALSE,FALSE
"AIRDUO DIGIHALER","FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE",FALSE,FALSE,FALSE
"AIRDUO RESPICLICK","FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE",FALSE,FALSE,FALSE
"AJOVY","FREMANEZUMAB-VFRM",FALSE,FALSE,FALSE
"AK-FLUOR 10%","FLUORESCEIN SODIUM",FALSE,FALSE,FALSE
"AK-FLUOR 25%","FLUORESCEIN SODIUM",FALSE,FALSE,FALSE
"AK-PENTOLATE","CYCLOPENTOLATE HYDROCHLORIDE",FALSE,FALSE,FALSE
"AKBETA","LEVOBUNOLOL HYDROCHLORIDE",FALSE,FALSE,FALSE
"AKINETON","BIPERIDEN HYDROCHLORIDE",FALSE,FALSE,FALSE
"AKLIEF","TRIFAROTENE",FALSE,FALSE,FALSE
"AKNE-MYCIN","ERYTHROMYCIN",FALSE,FALSE,FALSE
"AKOVAZ","EPHEDRINE SULFATE",FALSE,FALSE,FALSE
"AKPENTOLATE","CYCLOPENTOLATE HYDROCHLORIDE",FALSE,FALSE,FALSE
"AKPRO","DIPIVEFRIN HYDROCHLORIDE",FALSE,FALSE,FALSE
"AKRINOL","ACRISORCIN",FALSE,FALSE,FALSE
"AKTEN","LIDOCAINE HYDROCHLORIDE",FALSE,FALSE,FALSE
"AKTIPAK","BENZOYL PEROXIDE; ERYTHROMYCIN",FALSE,FALSE,FALSE
"AKTOB","TOBRAMYCIN",FALSE,FALSE,FALSE
"AKYNZEO","FOSNETUPITANT CHLORIDE HYDROCHLORIDE; PALONOSETRON HYDROCHLORIDE",FALSE,FALSE,FALSE
"ALA-CORT","HYDROCORTISONE",FALSE,FALSE,FALSE
"ALA-SCALP","HYDROCORTISONE",FALSE,FALSE,FALSE
"ALAMAST","PEMIROLAST POTASSIUM",FALSE,FALSE,FALSE
"ALAVERT","LORATADINE",FALSE,FALSE,FALSE
"ALAWAY","KETOTIFEN FUMARATE",FALSE,FALSE,FALSE
"ALBALON","NAPHAZOLINE HYDROCHLORIDE",FALSE,FALSE,FALSE
"ALBAMYCIN","NOVOBIOCIN SODIUM",FALSE,FALSE,FALSE
"ALBENDAZOLE","ALBENDAZOLE",FALSE,FALSE,FALSE
"ALBENZA","ALBENDAZOLE",FALSE,FALSE,FALSE
"ALBUTEROL","ALBUTEROL",FALSE,FALSE,FALSE
"ALBUTEROL SULFATE","ALBUTEROL SULFATE",FALSE,FALSE,FALSE
"ALBUTEROL SULFATE AND IPRATROPIUM BROMIDE","ALBUTEROL SULFATE; IPRATROPIUM BROMIDE",FALSE,FALSE,FALSE
"ALBUTEROL SULFATE; IPRATROPIUM BROMIDE","ALBUTEROL SULFATE; IPRATROPIUM BROMIDE",FALSE,FALSE,FALSE
"ALCAINE","PROPARACAINE HYDROCHLORIDE",FALSE,FALSE,FALSE
"ALCLOMETASONE DIPROPIONATE","ALCLOMETASONE DIPROPIONATE",FALSE,FALSE,FALSE
"ALCOHOL 5% AND DEXTROSE 5%","ALCOHOL; DEXTROSE",FALSE,FALSE,FALSE
"ALDACTAZIDE","HYDROCHLOROTHIAZIDE; SPIRONOLACTONE",FALSE,FALSE,FALSE
"ALDACTONE","SPIRONOLACTONE",FALSE,FALSE,FALSE
"ALDARA","IMIQUIMOD",FALSE,FALSE,FALSE
"ALDOCLOR-150","CHLOROTHIAZIDE; METHYLDOPA",FALSE,FALSE,FALSE
"ALDOCLOR-250","CHLOROTHIAZIDE; METHYLDOPA",FALSE,FALSE,FALSE
"ALDOMET","METHYLDOPA",FALSE,FALSE,FALSE
"ALDORIL 15","HYDROCHLOROTHIAZIDE; METHYLDOPA",FALSE,FALSE,FALSE
"ALDORIL 25","HYDROCHLOROTHIAZIDE; METHYLDOPA",FALSE,FALSE,FALSE
"ALDORIL D30","HYDROCHLOROTHIAZIDE; METHYLDOPA",FALSE,FALSE,FALSE
"ALDORIL D50","HYDROCHLOROTHIAZIDE; METHYLDOPA",FALSE,FALSE,FALSE
"ALDURAZYME","LARONIDASE",FALSE,FALSE,FALSE
"ALECENSA","ALECTINIB HYDROCHLORIDE",FALSE,FALSE,FALSE
"ALENDRONATE SODIUM","ALENDRONATE SODIUM",FALSE,FALSE,FALSE
"ALESSE","ETHINYL ESTRADIOL; LEVONORGESTREL",FALSE,FALSE,FALSE
"ALEVE","NAPROXEN SODIUM",FALSE,FALSE,FALSE
"ALEVE PM","DIPHENHYDRAMINE HYDROCHLORIDE; NAPROXEN SODIUM",FALSE,FALSE,FALSE
"ALEVE-D SINUS & COLD","NAPROXEN SODIUM; PSEUDOEPHEDRINE HYDROCHLORIDE",FALSE,FALSE,FALSE
"ALFENTA","ALFENTANIL HYDROCHLORIDE",FALSE,FALSE,FALSE
"ALFENTANIL","ALFENTANIL HYDROCHLORIDE",FALSE,FALSE,FALSE
"ALFERON N INJECTION","INTERFERON ALFA-N3",FALSE,FALSE,FALSE
"ALFUZOSIN HYDROCHLORIDE","ALFUZOSIN HYDROCHLORIDE",FALSE,FALSE,FALSE
"ALIMTA","PEMETREXED",FALSE,FALSE,FALSE
"ALINIA","NITAZOXANIDE",FALSE,FALSE,FALSE
"ALIQOPA","COPANLISIB DIHYDROCHLORIDE",FALSE,FALSE,FALSE
"ALISKIREN HEMIFUMARATE","ALISKIREN HEMIFUMARATE",FALSE,FALSE,FALSE
"ALKERAN","MELPHALAN HYDROCHLORIDE",FALSE,FALSE,FALSE
"ALKERGOT","ERGOLOID MESYLATES",FALSE,FALSE,FALSE
"ALKINDI SPRINKLE","HYDROCORTISONE",FALSE,FALSE,FALSE
"ALLAY","ACETAMINOPHEN; HYDROCODONE BITARTRATE",FALSE,FALSE,FALSE
"ALLEGRA","FEXOFENADINE HYDROCHLORIDE",FALSE,FALSE,FALSE
"ALLEGRA ALLERGY","FEXOFENADINE HYDROCHLORIDE",FALSE,FALSE,FALSE
"ALLEGRA HIVES","FEXOFENADINE HYDROCHLORIDE",FALSE,FALSE,FALSE
"ALLEGRA-D 12 HOUR ALLERGY AND CONGESTION","FEXOFENADINE HYDROCHLORIDE; PSEUDOEPHEDRINE HYDROCHLORIDE",FALSE,FALSE,FALSE
"ALLEGRA-D 24 HOUR ALLERGY AND CONGESTION","FEXOFENADINE HYDROCHLORIDE; PSEUDOEPHEDRINE HYDROCHLORIDE",FALSE,FALSE,FALSE
"ALLERFED","PSEUDOEPHEDRINE HYDROCHLORIDE; TRIPROLIDINE HYDROCHLORIDE",FALSE,FALSE,FALSE
"ALLERNAZE","TRIAMCINOLONE ACETONIDE",FALSE,FALSE,FALSE
"ALLI","ORLISTAT",FALSE,FALSE,FALSE
"ALLOPURINOL","ALLOPURINOL",FALSE,FALSE,FALSE
"ALLOPURINOL SODIUM","ALLOPURINOL SODIUM",FALSE,FALSE,FALSE
"ALLZITAL","ACETAMINOPHEN; BUTALBITAL",FALSE,FALSE,FALSE
"ALMOTRIPTAN MALATE","ALMOTRIPTAN MALATE",FALSE,FALSE,FALSE
"ALOCRIL","NEDOCROMIL SODIUM",FALSE,FALSE,FALSE
"ALOGLIPTIN","ALOGLIPTIN BENZOATE",FALSE,FALSE,FALSE
"ALOGLIPTIN AND METFORMIN HYDROCHLORIDE","ALOGLIPTIN AND METFORMIN HYDROCHLORIDE",FALSE,FALSE,FALSE
"ALOGLIPTIN; METFORMIN HYDROCHLORIDE","ALOGLIPTIN; METFORMIN HYDROCHLORIDE",FALSE,FALSE,FALSE
"ALOMIDE","LODOXAMIDE TROMETHAMINE",FALSE,FALSE,FALSE
"ALOPRIM","ALLOPURINOL SODIUM",FALSE,FALSE,FALSE
"ALORA","ESTRADIOL",FALSE,FALSE,FALSE
"ALOSETRON HYDROCHLORIDE","ALOSETRON HYDROCHLORIDE",FALSE,FALSE,FALSE
"ALOXI","PALONOSETRON HYDROCHLORIDE",FALSE,FALSE,FALSE
"ALPHACAINE","LIDOCAINE",FALSE,FALSE,FALSE
"ALPHACAINE HYDROCHLORIDE","LIDOCAINE HYDROCHLORIDE",FALSE,FALSE,FALSE
"ALPHACAINE HYDROCHLORIDE W/ EPINEPHRINE","EPINEPHRINE; LIDOCAINE HYDROCHLORIDE",FALSE,FALSE,FALSE
"ALPHADERM","HYDROCORTISONE; UREA",FALSE,FALSE,FALSE
"ALPHADROL","FLUPREDNISOLONE",FALSE,FALSE,FALSE
"ALPHAGAN","BRIMONIDINE TARTRATE",FALSE,FALSE,FALSE
"ALPHAGAN P","BRIMONIDINE TARTRATE",FALSE,FALSE,FALSE
"ALPHALIN","VITAMIN A PALMITATE",FALSE,FALSE,FALSE
"ALPHAREDISOL","HYDROXOCOBALAMIN",FALSE,FALSE,FALSE
"ALPHATREX","BETAMETHASONE DIPROPIONATE",FALSE,FALSE,FALSE
"ALPHAZINE","PHENDIMETRAZINE TARTRATE",FALSE,FALSE,FALSE
"ALPRAZOLAM","ALPRAZOLAM",FALSE,FALSE,FALSE
"ALPROSTADIL","ALPROSTADIL",FALSE,FALSE,FALSE
"ALREX","LOTEPREDNOL ETABONATE",FALSE,FALSE,FALSE
"ALSUMA","SUMATRIPTAN SUCCINATE",FALSE,FALSE,FALSE
"ALTABAX","RETAPAMULIN",FALSE,FALSE,FALSE
"ALTACE","RAMIPRIL",FALSE,FALSE,FALSE
